,index_party,sent
0,0,Deutschland.
1,1,Alles ist drin.
2,2,"Bundestagswahlprogramm 2021 Bereit, weil Ihr es seid."
3,3,Dieses Bundestagswahlprogramm wurde auf der 46.
4,4,"Bundesdelegiertenkonferenz von BÜNDNIS 90 / DIE GRÜNEN beschlossen, die vom 11. bis 13."
5,5,Juni 2021 digital stattgefunden hat.
6,6,"Herausgeber*in: BÜNDNIS 90 / DIE GRÜNEN Platz vor dem Neuen Tor 1 10115 Berlin Telefon: 030 28442-0 Fax: 030 28442-210 E-Mail: info@gruene.de Internet: gruene.de V. i. S. d. P.: BÜNDNIS 90 / DIE GRÜNEN Annkathrin Schäfer Platz vor dem Neuen Tor 1 10115 Berlin Layout und Satz: Twentyfour Seven Creative Media Service GmbH, Berlin twentyfour-7.de Titelgestaltung: neues tor eins Kommunikationsberatung GmbH, Berlin Druck: Frank Druck GmbH & Co. KG, Preetz www.eversfrank.com   Eine Einladung 9 Kapitel 1: Inhalt Lebensgrundlagen schützen 12 Wir schaffen klimagerechten Wohlstand 14 Wir schaffen Versorgungssicherheit mit Erneuerbaren 21 Wir sorgen für nachhaltige Mobilität 29 Wir schützen Natur und Umwelt für ein gutes Leben 40 Wir stärken Bäuer*innen, Tiere und Natur 48 Wir ermöglichen Tieren ein besseres Leben 53 Kapitel 2: In die Zukunft wirtschaften 57 Wir fördern Unternehmer*innengeist, Wettbewerb und Ideen 60 Wir geben dem Markt einen sozial- ökologischen Rahmen 72 Wir bringen die Digitalisierung voran 74 Wir kämpfen für einen fairen und nachhaltigen Handel 79 Wir machen die Finanzmärkte stabiler und nachhaltiger 83 4 Bundestagswahlprogramm 2021 BÜNDNIS 90 / DIE GRÜNEN  Wir vollenden die Europäische Wirtschaftsund Währungsunion 87 Wir haushalten solide, weitsichtig und gerecht 89 Kapitel 3: Inhalt Solidarität sichern 95 Wir fördern Kinder, Jugendliche und Familien 97 Wir sorgen für gute Arbeit und faire Löhne 103 Wir schaffen Gerechtigkeit zwischen den Geschlechtern 109 Wir sichern die sozialen Netze 111 Wir geben Gesundheit und Pflege einen neuen Wert 116 Wir schaffen bezahlbaren Wohnraum 130 Wir investieren in lebenswerte Dörfer und Städte 135 Kapitel 4: Bildung und Forschung ermöglichen 141 Wir fördern gute Bildung von Anfang an 144 Wir stärken Ausbildung und Studium 150 Wir ermöglichen lebensbegleitendes Lernen 152 Wir verbessern die Bedingungen für die Wissenschaft 154 Bundestagswahlprogramm 2021 BÜNDNIS 90 / DIE GRÜNEN 5  Kapitel 5: Zusammen leben 160 Wir machen den Staat effektiver und Inhalt bürger*innennäher 162 Wir treten ein für Vielfalt, Anerkennung und gleiche Rechte 169 Wir erneuern das demokratische Fundament 175 Wir gestalten die vielfältige Einwanderungsgesellschaft 183 Wir rücken Feminismus, Queerpolitik und Geschlechtergerechtigkeit in den Fokus 188 Wir stärken Sicherheit und Bürger*innenrechte 193 Wir garantieren den Rechtsstaat und stärken den Verbraucherschutz 201 Wir fördern die Kultur, die Künste und den Sport 205 Wir bauen Europa weiter 211 Kapitel 6: International zusammenarbeiten 217 Wir treiben die sozial-ökologische Transformation voran 220 Wir stärken die multilaterale Zusammenarbeit 224 Wir arbeiten an guten Beziehungen in einer multipolaren Welt 226 6 Bundestagswahlprogramm 2021 BÜNDNIS 90 / DIE GRÜNEN  Wir verteidigen die Menschenrechte 234 Wir schützen Geflüchtete 238 Wir streiten für eine gerechte Inhalt Weltwirtschaftsordnung 244 Wir treten ein für Frieden und Sicherheit 245 Regieren auf Augenhöhe mit der Zukunft 255 Stichwortregister 259 Bundestagswahlprogramm 2021 BÜNDNIS 90 / DIE GRÜNEN 7  8 Bundestagswahlprogramm 2021 BÜNDNIS 90 / DIE GRÜNEN  Eine Einladung Liebe Wähler*innen, durch Wahlen entscheidet eine Gesellschaft, wer sie sein will."
7,7,Das gilt erst recht für diese Bundestagswahl am 26.
8,8,September.
9,9,Mit ihr Einleitung endet eine Ära und eine neue kann beginnen.
